0,0,T01,"294, 219,322, 247","28, 98",0,"308, 233",4,0
1,1,G07,"216, 160,275, 219","0, 1",0,"245, 189",0,5 ~ 30
2,6,G08,"275, 160,315, 219","2, 3",0,"294, 189",0,10 ~ 30
3,10,G13,"260, 219,294, 247","4, 5",0,"277, 233",0,1 ~ 10
4,16,G16,"322, 219,357, 254","6, 7, 8",0,"339, 236",0,1 ~ 15
5,24,G19,"294, 247,322, 275",9,0,"308, 261",0,1 ~ 12
6,29,G15,"357, 195,392, 230",10,0,"374, 212",0,15 ~ 20
7,30,M19,"392, 195,441, 261","12, 13",0,"416, 228",0,25 ~ 40
8,31,M12,"406, 160,427, 195","11, 38",0,"416, 178",0,30 ~ 50
9,36,T06,"427, 178,444, 195","14, 22, 99",0,"435, 186",3,0
10,68,G24,"441, 195,510, 247",16,0,"475, 221",0,35 ~ 55
11,69,G26,"461, 247,531, 291","15, 21",0,"496, 268",0,40 ~ 50
12,70,G27,"498, 291,543, 314",17,0,"520, 302",0,45 ~ 55
13,71,T03,"531, 314,557, 341","86, 100",0,"543, 327",4,0
14,72,G29,"505, 341,564, 375",-1,0,"534, 357",0,55 ~ 65
15,73,G30,"441, 354,505, 417",23,0,"474, 385",0,60 ~ 70
16,74,T04,"468, 417,489, 438","18, 19, 20, 88, 101",0,"478, 427",4,0
17,127,G31,"505, 375,575, 417","25, 26, 27",0,"540, 396",0,62 ~ 80
18,128,G32,"489, 417,543, 466",-1,0,"517, 441",0,53 ~ 85
19,129,G04,"174, 113,241, 160",66,0,"207, 137",0,20 ~ 50
20,130,G09,"315, 136,374, 195",24,0,"344, 165",0,30 ~ 79
21,131,G10,"374, 160,406, 195",-1,0,"390, 178",0,55 ~ 65
22,132,G14,"315, 195,357, 219",-1,0,"336, 207",0,15 ~ 30
23,154,D01,"42, 63,102, 126",-1,0,"72, 94",0,40 ~ 50
24,155,D02,"102, 63,168, 113","29, 30, 31, 32, 33, 34",0,"135, 88",0,60 ~ 80
25,156,D06,"116, 113,174, 148",89,0,"145, 130",0,20 ~ 40
26,168,D03,"168, 63,234, 113",67,0,"201, 88",0,95 ~ 105
27,169,D05,"52, 126,116, 148",35,0,"84, 136",0,60 ~ 70
28,171,T18,"102, 113,116, 126",102,0,"109, 119",3,0
29,193,T08,"21, 73,42, 94","36, 103",0,"31, 83",4,0
30,204,M14,"468, 164,510, 195",-1,0,"489, 179",0,65 ~ 75
31,205,M10,"458, 136,510, 164","41, 37, 87",0,"484, 150",0,100 ~ 125
32,206,M09,"458, 101,528, 136","39, 40",0,"493, 118",0,120 ~ 140
33,214,T11,"458, 164,468, 175","42, 104",0,"463, 169",3,0
34,259,M11,"510, 136,580, 206","43, 44, 45, 46, 47",0,"545, 171",0,260 ~ 280
35,278,M07,"374, 108,427, 160",48,0,"401, 134",0,75 ~ 85
36,279,M05,"396, 60,448, 108","49, 50, 51, 54",0,"422, 84",0,100 ~ 125
37,280,D17,"543, 417,608, 466",52,0,"576, 441",0,75 ~ 80
38,281,M24,"575, 365,623, 417",53,0,"598, 391",0,85 ~ 100
39,310,T12,"623, 401,644, 422",105,0,"633, 411",3,0
40,317,S24,"644, 401,679, 453","56, 83",0,"661, 427",0,90 ~ 97
41,300,G28,"623, 314,686, 375",61,0,"654, 344",0,110 ~ 115
42,302,D16,"595, 275,633, 314","55, 90, 91, 92, 93, 94, 95",0,"614, 294",0,250 ~ 260
43,322,D08,"116, 148,154, 195",58,0,"135, 171",0,45 ~ 55
44,324,G06,"174, 160,216, 195","59, 78, 79, 80, 60",0,"195, 178",0,75 ~ 85
45,323,D11,"141, 195,179, 247",57,0,"160, 222",0,50 ~ 60
46,340,T16,"564, 365,575, 375",-1,0,"569, 370",1,0
47,341,M01,"241, 113,290, 160","62, 63, 65",0,"266, 136",0,37 ~ 58
48,347,T14,"280, 101,290, 113","64, 106",0,"285, 107",2,0
49,353,G01,"234, 91,280, 113",-1,0,"257, 102",0,65 ~ 75
50,364,D07,"52, 148,116, 185",77,1,"84, 166",0,175 ~ 190
51,365,D09,"52, 185,116, 254",68,1,"84, 219",0,345 ~ 360
52,373,T02,"174, 254,196, 275",107,1,"185, 264",4,0
