0,2,15~25,0,늑대 굴
1,"3, 4, 5",25~55,0,레드아이 연구소
2,7,25~35,0,벌래 굴
3,8,60~70,0,오우거 동굴
4,9,2~10,0,코볼트 토굴
5,"13,14,15",5~24,0,지하묘지
6,17,3~9,0,마른 우물
7,"18, 19, 20, 114",15~60,0,오트 지하 감옥
8,"21, 22, 23",60~75,0,알파스 지하 감옥
9,"25, 26",15~30,0,길딜강 늪지 동굴
10,"32, 33, 34, 35, 54",15~45,0,노상 강도단 아지트
11,"37, 38, 39, 40, 41, 42, 43, 44, 45, 46",35~130,0,폐광
12,"47, 48, 49, 50, 51, 52, 53",50~120,0,캔서의 숨구멍
13,"55, 56, 57, 58, 59",30~50,0,하노브 축대 망루
14,"63, 64, 65, 66, 67",50~90,0,철 광산
15,"75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93",100~140,0,덤불 숲 속
16,"96, 97, 98, 99, 100",60~145,0,하노브 남쪽 망루
17,"101, 102, 103, 104",72~110,0,마약 소굴
18,"105, 106",10~35,0,도둑 길드 창고[A]
19,"107, 108, 109",50~80,0,도둑 길드 창고[B]
20,"110, 111, 112, 113",100~165,0,도둑 길드 창고[C]
21,135,95~140,0,시간의 던전
22,"119, 120, 121",30~90,0,미스릴 광산
23,"122, 123, 124, 125, 126,151",50~274,0,바다의 신전
24,133,70~80,0,오우거 왕굴
25,134,160~170,0,부서진 길
26,"135, 136, 137, 138, 139, 140, 141",90~160,0,트와이라이트 폭포
27,"142, 143, 144, 145, 146, 147, 148, 149, 150",140~235,0,솔티 케이브
28,152,15~20,0,잊혀진 수로
29,"157, 158",75~95,0,경비병 무덤
30,"159, 160",150~170,0,마법 용병의 무덤
31,"161, 162",100~120,0,용병들의 큰 무덤
32,"163, 164",200~210,0,저주받은 무덤
33,"165, 166",240~250,0,작은 용병의 무덤
34,167,260~270,0,지나간 영광의 전시장
35,"174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192",200~360,0,이름없는 부서진 탑
36,"196, 197",25~40,0,아리안 유적지 지하
37,"212, 213",105~150,0,동굴 지하도
38,"209, 210",330~350,0,파블 광산
39,211,70~80,0,타트바 광산
40,"207, 208",235~250,0,타트바 산 정상 등산로
41,"219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 258",260~450,0,스웹타워
42,"215, 216, 217, 218",44~140,0,스머그 지하도
43,"260, 261, 262",150~170,0,하구 던전 도
44,"263, 264",160~180,0,하구 던전 디
45,265,175~185,0,하구 던전 미
46,"266, 267",180~200,0,하구 던전 라
47,"268, 269, 270, 271, 272, 273, 274, 275, 276, 277",80~105,0,폐허 스바인 요새
48,282,80~80,0,동 바헬 급류 카르스트 동굴
49,"284, 285",150~170,0,하이렌더 케이브
50,"286, 287, 288, 289, 290, 291, 292",115~145,0,저주받은 미즈나의 동굴
51,"293, 294",410~420,0,이름없는 지하 유적
52,"296, 297, 298, 299",420~455,0,캔서의 보금자리
53,295,120~235,0,소곰 산맥 붉은 산 등산로
54,283,250~290,0,샘물 구멍들
55,"303, 304, 305, 306, 307, 308, 309, 321",,0,스파인 홀
56,"318, 319, 320",,0,골든 스왐프 동굴
57,"325, 326, 327, 328",,1,빅 마우스 던전
58,"329, 330",,1,데프 힐스 작은 동굴
59,"331, 332, 333, 337, 338, 339",,1,다크 엘프의 왕궁
60,"334, 335",,1,사냥꾼의 쉼터
61,301,,0,오로인 숲 지하 동굴
