0,29,23,19,"30, 81
39, 83
48, 86
56, 91
64, 96"
1,23,24,68,"71, 92
76, 85
84, 80
93, 76
103, 73
111, 77
120, 77
129, 76"
2,24,26,58,"129, 76
138, 76
147, 76
156, 77
165, 78
174, 78
183, 78
191, 79"
3,23,27,34,"64, 96
58, 102
59, 111
59, 120
58, 129
65, 135
74, 136"
4,23,28,52,"73, 100
80, 107
89, 111
97, 116
106, 117"
5,28,25,16,"106, 117
115, 118
124, 121"
6,25,19,74,"124, 121
133, 121
142, 124
151, 127
160, 130
169, 134
178, 136
187, 138
196, 142"
7,19,1,94,"196, 142
205, 146
213, 151
222, 155
229, 162
234, 170
240, 177
244, 186"
8,1,3,39,"244, 186
250, 193
255, 201
261, 208
268, 215
275, 222"
9,3,2,29,"275, 222
282, 215
288, 208
295, 202
295, 202"
10,2,22,37,"295, 202
304, 203
313, 207
322, 208
331, 209"
11,22,20,35,"331, 209
332, 200
334, 191
335, 182
338, 173"
12,20,21,32,"338, 173
347, 173
356, 177
365, 179
374, 179
383, 177"
13,21,35,34,"383, 177
389, 170
394, 163
398, 154
399, 145
399, 136"
14,35,36,59,"399, 136
399, 127
399, 118
403, 109
408, 101
413, 93
420, 87"
15,3,0,23,"284, 226
293, 227
302, 227"
16,0,5,36,"302, 227
302, 236
304, 245
309, 253
307, 262"
17,0,4,34,"302, 227
311, 230
320, 229
328, 228
337, 226"
18,4,6,24,"337, 226
346, 223
355, 220
363, 216
372, 212"
19,6,7,33,"372, 212
381, 210
390, 207
399, 204
408, 202"
20,7,8,19,"408, 202
409, 193
410, 184
412, 175"
21,7,9,27,"408, 202
416, 197
425, 195
429, 186"
22,7,10,51,"408, 202
413, 210
418, 218
426, 223
434, 228
443, 229
450, 228"
23,9,10,36,"429, 186
435, 193
439, 202
441, 211
445, 220
450, 228"
24,8,21,20,"383, 177
390, 175
397, 177
406, 175
412, 175"
25,10,30,74,"450, 228
457, 221
466, 217
474, 213
480, 206
484, 197
486, 188
486, 179"
26,30,33,40,"486, 179
480, 172
471, 170
462, 166"
27,30,31,20,"486, 179
493, 172
495, 163
491, 154
484, 147"
28,31,32,29,"484, 147
481, 138
476, 130
480, 122
488, 117"
29,32,34,58,"488, 117
496, 122
504, 127
513, 130
519, 137
523, 146
527, 154
524, 163
527, 172"
30,10,11,65,"450, 228
456, 234
463, 241
468, 249
477, 253
485, 257
492, 263"
31,11,12,53,"492, 263
499, 270
504, 278
511, 285
520, 289
526, 296"
32,12,13,30,"526, 296
528, 305
533, 313
537, 322"
33,13,14,26,"537, 322
537, 331
536, 340
531, 346
523, 351"
34,14,15,69,"523, 351
515, 356
508, 362
499, 363
491, 368
486, 376
486, 385"
35,15,16,30,"486, 385
484, 394
480, 403
476, 412
477, 421"
36,16,18,45,"477, 421
486, 424
495, 426
504, 428
512, 433"
37,18,17,60,"512, 433
521, 429
526, 421
529, 412
534, 404
528, 397"
38,15,17,32,"486, 385
495, 387
504, 387
513, 390
522, 391"
39,14,17,95,"522, 382
526, 373
530, 364
532, 355"
40,18,37,52,"512, 433
516, 442
524, 447
533, 444
540, 438
549, 435
558, 435
567, 436"
41,37,38,60,"567, 436
576, 437
585, 441
594, 438
598, 429
597, 420
593, 411
589, 402
591, 393"
42,38,39,29,"591, 393
600, 396
607, 401
615, 406
624, 404
630, 411"
43,39,40,51,"630, 411
638, 407
647, 406
654, 413"
44,38,41,95,"591, 393
593, 384
600, 377
607, 370
616, 368
625, 367
631, 360
636, 352
634, 343"
45,41,42,55,"634, 343
632, 334
631, 325
628, 316
623, 308
619, 299
614, 291"
46,25,43,45,"123, 129
124, 137
126, 145
130, 154
135, 162
139, 171"
47,43,45,48,"139, 171
143, 180
147, 189
151, 196
155, 205
159, 214"
