0,2,17 ~ 25,0
1,"3, 4, 5",25 ~ 55,0
2,7,25 ~ 35,0
3,8,60 ~ 70,0
4,"11, 12",2 ~ 10,0
5,"13, 14, 15",5 ~ 24,0
6,17,3 ~ 9,0
7,"18, 19, 20, 114",16 ~ 90,0
8,"21, 22, 23",60 ~ 90,0
9,"25, 26",15 ~ 32,0
10,"32, 33, 34, 35, 54",15 ~ 45,0
11,"37, 38, 39, 40, 41, 42, 43, 44, 45, 46",35 ~ 130,0
12,"47, 48, 49, 50, 51, 52, 53",50 ~ 120,0
13,"55, 56, 57, 58, 59",30 ~ 50,0
14,"63, 64, 65, 66, 67",50 ~ 90,0
15,"75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93",100 ~ 155,0
16,"96, 97, 98, 99, 100",60 ~ 145,0
17,"101, 102, 103, 104",70 ~ 110,0
18,"105, 106",10 ~ 35,0
19,"107, 108, 109",50 ~ 105,0
20,"110, 111, 112, 113",100 ~ 160,0
21,115,95 ~ 140,0
22,"119, 120, 121",30 ~ 90,0
23,"122, 123, 124, 125, 126,151",50 ~ 290,0
24,133,70 ~ 110,0
25,134,160 ~ 200,0
26,"135, 136, 137, 138, 139, 140, 141",90 ~ 160,0
27,"142, 143, 144, 145, 146, 147, 148, 149, 150",140 ~ 235,0
28,152,10 ~ 20,0
29,"157, 158",75 ~ 95,0
30,"159, 160",150 ~ 170,0
31,"161, 162",100 ~ 120,0
32,"163, 164",200 ~ 230,0
33,"165, 166",230 ~ 255,0
34,167,260 ~ 270,0
35,"174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192",200 ~ 360,0
36,"196, 197",25 ~ 60,0
37,212,105 ~ 120,0
38,"209, 210",170 ~ 370,0
39,211,70 ~ 80,0
40,"207, 208",115 ~ 190,0
41,"219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 258",200 ~ 460,0
42,"215, 216, 217, 218",44 ~ 135,0
43,"260, 261, 262",150 ~ 170,0
44,"263, 264",160 ~ 180,0
45,265,175 ~ 185,0
46,"266, 267",180 ~ 200,0
47,"268, 269, 270, 271, 272, 273, 274, 275, 276, 277",80 ~ 600,0
48,282,72 ~ 75,0
49,"284, 285",260 ~ 300,0
50,"286, 287, 288, 289, 290, 291",500 ~ 525,0
51,"292, 293, 294",540 ~ 560,0
52,"296, 297, 298, 299",250 ~ 295,0
53,295,110 ~ 120,0
54,283,115 ~ 140,0
55,303,450 ~ 490,0
56,"318, 319, 320",565 ~ 580,0
57,"325, 326, 327, 328",590 ~ 610,0
58,"329, 330",390 ~ 435,0
59,"332, 337, 338, 339",143 ~ 480,0
60,"334, 335",75 ~ 80,0
61,301,115 ~ 120,0
62,342,46 ~ 60,0
63,"343, 344, 345, 346, 355, 356",200 ~ 320,0
64,352,64 ~ 75,0
65,357,320 ~ 340,0
66,"358, 359, 360, 361, 362, 363",396 ~ 425,0
67,170,50 ~ 55,0
68,"380, 381, 382, 383, 384",370 ~ 625,5
69,385,350 ~ 370,1
70,387,340 ~ 350,1
71,388,370 ~ 378,1
72,389,280 ~ 285,1
73,390,285 ~ 290,1
74,391,615 ~ 625,1
75,"401, 402, 403",20 ~ 36,1
76,404,65 ~ 75,1
77,405,315 ~ 525,1
78,331,135~140,0
79,333,138~143,0
80,336,435~455,0
81,441,170~200,1
82,446,175~190,1
83,"493, 494",660 ~ 720,0
84,"429, 430",600 ~ 650,0
85,"497, 498",420 ~ 500,0
86,495,500 ~ 550,0
87,213,140 ~ 160,0
88,416,100 ~ 110,0
89,427,120 ~ 140,0
90,304,455 ~ 460,0
91,305,460 ~ 465,0
92,306,465 ~ 470,0
93,307,470 ~ 475,0
94,308,475 ~ 480,0
95,309,480 ~ 485,0
96,492,250 ~ 255,0
97,488,250 ~ 285,0
98,"60, 61, 62, 94, 95, 153, 377, 502",0 ~ 0,65535
99,116,0 ~ 0,65535
100,"117, 425",0 ~ 0,65535
101,"118, 503",0 ~ 0,65535
102,"172, 201",0 ~ 0,65535
103,"194, 195, 198, 199, 200, 202, 203",0 ~ 0,65535
104,"251, 252, 253, 254, 255, 256, 257",0 ~ 0,65535
105,"311, 312, 313, 314, 315, 316",0 ~ 0,65535
106,"348, 349, 350, 351",0 ~ 0,65535
107,"396, 397, 398, 399, 445",0 ~ 0,65535
108,600,0 ~ 0,65535
109,"379, 392, 393, 406, 407, 408",0 ~ 0,65535
110,"394, 400",0 ~ 0,65535
111,"442, 452",0 ~ 0,65535
112,"453, 455, 456, 457, 458, 460",0 ~ 0,65535
113,"481, 482, 483, 484",0 ~ 0,65535
114,269,85 ~ 90,0
115,271,500 ~ 545,0
116,273,575 ~ 600,0
117,275,545 ~ 575,0
118,277,98 ~ 105,0
